model,mode,class,mean_cosine_to_class_centroid,std_cosine_to_class_centroid,mean_vector_norm,std_vector_norm
distilroberta-base,all_layers_flat,formalization,0.8668786957859993,0.0701069225626498,3.817819118499756,0.4741803705692291
distilroberta-base,transition_dynamics_flat,negation,0.8050517737865448,0.026434419683750883,3.656238555908203,0.1852225959300995
distilroberta-base,transition_dynamics_flat,question,0.8874588310718536,0.02365095509759289,4.403271198272705,0.19114001095294952
distilroberta-base,transition_dynamics_flat,past_to_future,0.7586623728275299,0.03968016453659706,2.8119425773620605,0.13856549561023712
distilroberta-base,transition_dynamics_flat,certainty_to_uncertainty,0.9164634421467781,0.0247692304376223,3.3715763092041016,0.10726507008075714
distilroberta-base,transition_dynamics_flat,active_to_passive,0.7712147980928421,0.02817850772335507,3.6543073654174805,0.18627645075321198
distilroberta-base,transition_dynamics_flat,formalization,0.7738624140620232,0.07863678301446012,2.258650064468384,0.2843545079231262
distilgpt2,final,negation,0.8858461678028107,0.07147395641865269,10.796232223510742,2.2161006927490234
distilgpt2,final,question,0.7906861677765846,0.15093859497569104,7.55438232421875,2.12921404838562
distilgpt2,final,past_to_future,0.9068557247519493,0.11467284816566088,9.722671508789062,1.6765040159225464
distilgpt2,final,certainty_to_uncertainty,0.8873703479766846,0.06758479563610159,8.444191932678223,2.8042237758636475
distilgpt2,final,active_to_passive,0.7230838518589735,0.22071340534077563,10.946990966796875,3.8571574687957764
distilgpt2,final,formalization,0.8142830058932304,0.27618396785625504,15.694910049438477,6.492822647094727
distilgpt2,all_layers_flat,negation,0.9900710210204124,0.0031786951177170423,142.52328491210938,13.718806266784668
distilgpt2,all_layers_flat,question,0.9720096215605736,0.010229527770947183,79.2242431640625,5.574772357940674
distilgpt2,all_layers_flat,past_to_future,0.9779925346374512,0.010605427525781542,81.95985412597656,7.280495643615723
distilgpt2,all_layers_flat,certainty_to_uncertainty,0.9949361830949783,0.0011796051681654818,120.7816390991211,0.7939993143081665
distilgpt2,all_layers_flat,active_to_passive,0.9758084118366241,0.0055143510501222326,138.54061889648438,15.396231651306152
distilgpt2,all_layers_flat,formalization,0.7536267936229706,0.13732293958624564,37.98442459106445,19.074663162231445
distilgpt2,transition_dynamics_flat,negation,0.9825451746582985,0.005234036307735731,99.05548095703125,9.548209190368652
distilgpt2,transition_dynamics_flat,question,0.9552201330661774,0.01557525408648929,57.50995635986328,4.145023345947266
distilgpt2,transition_dynamics_flat,past_to_future,0.9607782065868378,0.018010144590736993,57.643924713134766,4.808938026428223
distilgpt2,transition_dynamics_flat,certainty_to_uncertainty,0.9900705814361572,0.0020932137835552376,83.58763122558594,0.7502845525741577
distilgpt2,transition_dynamics_flat,active_to_passive,0.9582689478993416,0.009701760907361759,97.51104736328125,10.105794906616211
distilgpt2,transition_dynamics_flat,formalization,0.7378240823745728,0.13400701839715493,28.97454071044922,12.232318878173828
gpt2,final,negation,0.9502726346254349,0.05768416964293184,27.578407287597656,7.581602573394775
gpt2,final,question,0.9239161536097527,0.1166270458749149,22.593441009521484,5.7585859298706055
gpt2,final,past_to_future,0.9737283810973167,0.01980553693113713,24.789012908935547,8.816014289855957
gpt2,final,certainty_to_uncertainty,0.8918090388178825,0.09347151335442588,10.640302658081055,2.3299360275268555
gpt2,final,active_to_passive,0.5266325501725078,0.4424674565572933,16.55453872680664,6.3564043045043945
gpt2,final,formalization,0.7948194786440581,0.3442198294418355,34.693626403808594,11.623226165771484
gpt2,all_layers_flat,negation,0.9922330230474472,0.0028912735259595482,356.53216552734375,36.216400146484375
gpt2,all_layers_flat,question,0.9822666496038437,0.008706788289439151,227.48818969726562,18.697521209716797
gpt2,all_layers_flat,past_to_future,0.9812060967087746,0.011438933995153208,207.20465087890625,21.138242721557617
gpt2,all_layers_flat,certainty_to_uncertainty,0.9961199685931206,0.0008426455683991098,306.33349609375,1.2109034061431885
gpt2,all_layers_flat,active_to_passive,0.9818900525569916,0.005600957408785577,358.42724609375,47.41846466064453
gpt2,all_layers_flat,formalization,0.7519906796514988,0.1446827548423357,83.54945373535156,51.200923919677734
gpt2,transition_dynamics_flat,negation,0.9803935885429382,0.006916479691239622,160.2752685546875,15.678576469421387
gpt2,transition_dynamics_flat,question,0.9554297924041748,0.019088871967730382,104.77587890625,7.328624248504639
gpt2,transition_dynamics_flat,past_to_future,0.9534977376461029,0.02528565989723966,96.69024658203125,9.758620262145996
gpt2,transition_dynamics_flat,certainty_to_uncertainty,0.9891068115830421,0.002386321577997545,139.4107666015625,1.3489166498184204
gpt2,transition_dynamics_flat,active_to_passive,0.9537037312984467,0.01318868979173214,162.78692626953125,21.921781539916992
gpt2,transition_dynamics_flat,formalization,0.7697690762579441,0.16786382662163604,51.297019958496094,19.00727081298828
