model,train_size,repeat,acc,f1,baseline
distilroberta-base,20,21,0.525,0.46310704296974314,0.2
distilroberta-base,20,22,0.525,0.4768253968253967,0.2
distilroberta-base,20,23,0.7,0.6297543859649123,0.2
distilroberta-base,20,24,0.5,0.42416783216783216,0.2
distilroberta-base,20,25,0.575,0.4951794871794871,0.2
distilroberta-base,20,26,0.225,0.11252955082742315,0.2
distilroberta-base,20,27,0.4,0.26713043478260873,0.2
distilroberta-base,20,28,0.375,0.3618461538461538,0.2
distilroberta-base,20,29,0.575,0.5624242424242424,0.2
distilroberta-base,25,0,0.725,0.6596239316239316,0.2
distilroberta-base,25,1,0.7,0.6297543859649123,0.2
distilroberta-base,25,2,0.475,0.3682154882154882,0.2
distilroberta-base,25,3,0.75,0.6768831168831169,0.2
distilroberta-base,25,4,0.7,0.6341880341880342,0.2
distilroberta-base,25,5,0.5,0.3851851851851852,0.2
distilroberta-base,25,6,0.7,0.6279030910609859,0.2
distilroberta-base,25,7,0.55,0.5467379679144384,0.2
distilroberta-base,25,8,0.7,0.6266666666666667,0.2
distilroberta-base,25,9,0.45,0.3254545454545455,0.2
distilroberta-base,25,10,0.75,0.6788363171355498,0.2
distilroberta-base,25,11,0.5,0.47064327485380125,0.2
distilroberta-base,25,12,0.65,0.5587878787878788,0.2
distilroberta-base,25,13,0.325,0.27184343434343433,0.2
distilroberta-base,25,14,0.65,0.5770909090909091,0.2
distilroberta-base,25,15,0.75,0.7563858363858363,0.2
distilroberta-base,25,16,0.575,0.45463845617298304,0.2
distilroberta-base,25,17,0.55,0.46949891067538124,0.2
distilroberta-base,25,18,0.45,0.4181104181104181,0.2
distilroberta-base,25,19,0.675,0.6186868686868687,0.2
distilroberta-base,25,20,0.275,0.20063492063492064,0.2
distilroberta-base,25,21,0.725,0.660952380952381,0.2
distilroberta-base,25,22,0.7,0.6248447204968943,0.2
distilroberta-base,25,23,0.8,0.7950877192982456,0.2
distilroberta-base,25,24,0.75,0.7384827075229552,0.2
distilroberta-base,25,25,0.575,0.5373219373219373,0.2
distilroberta-base,25,26,0.625,0.5607017543859649,0.2
distilroberta-base,25,27,0.625,0.5904052936311002,0.2
distilroberta-base,25,28,0.675,0.6210395269218798,0.2
distilroberta-base,25,29,0.625,0.5766783978548684,0.2
distilroberta-base,40,0,0.825,0.7968253968253968,0.2
distilroberta-base,40,1,0.825,0.7968253968253968,0.2
distilroberta-base,40,2,0.825,0.7968253968253968,0.2
distilroberta-base,40,3,0.825,0.7968253968253968,0.2
distilroberta-base,40,4,0.825,0.7968253968253968,0.2
distilroberta-base,40,5,0.825,0.7968253968253968,0.2
distilroberta-base,40,6,0.825,0.7968253968253968,0.2
distilroberta-base,40,7,0.825,0.7968253968253968,0.2
distilroberta-base,40,8,0.825,0.7968253968253968,0.2
distilroberta-base,40,9,0.825,0.7968253968253968,0.2
distilroberta-base,40,10,0.825,0.7968253968253968,0.2
distilroberta-base,40,11,0.825,0.7968253968253968,0.2
distilroberta-base,40,12,0.825,0.7968253968253968,0.2
distilroberta-base,40,13,0.825,0.7968253968253968,0.2
distilroberta-base,40,14,0.825,0.7968253968253968,0.2
distilroberta-base,40,15,0.825,0.7968253968253968,0.2
distilroberta-base,40,16,0.825,0.7968253968253968,0.2
distilroberta-base,40,17,0.825,0.7968253968253968,0.2
distilroberta-base,40,18,0.825,0.7968253968253968,0.2
