model,ridge_alpha,heldout_language,method,pair,basis_rank,matrix_commutator_norm,closure_residual_ratio,givens_spectral_matched_null_mean,givens_spectral_matched_null_std,empirical_p_below_givens_spectral_matched_null,coef_N,coef_Q,coef_M,coef_T
bert-base-multilingual-cased,100.0,fr,affine,NQ_minus_QN,4,1.3770502197396357,0.8561689736957924,0.9995728556284653,0.00028526712888273485,0.0033222591362126247,-0.25387749929565306,0.2860120454578946,0.01804699470586707,-0.06191119000505907
bert-base-multilingual-cased,100.0,fr,affine,NM_minus_MN,4,0.7676882023201415,0.9850004872557926,0.9995309335586963,0.00037317624394740895,0.0033222591362126247,-0.09766473021580271,0.012827517753785211,0.040309444267889856,0.04860891818641562
bert-base-multilingual-cased,100.0,fr,affine,NT_minus_TN,4,0.7185131690454494,0.9349759002759944,0.9995394118099955,0.00029387138335741365,0.0033222591362126247,-0.1799507744531491,0.005176346577484697,0.019101861629976173,0.15361996308484246
bert-base-multilingual-cased,100.0,fr,affine,QM_minus_MQ,4,1.2873551568353854,0.8794161305686835,0.999564984831016,0.00032384777330773246,0.0033222591362126247,0.10187028964243973,-0.2614293344230678,0.07009401466293884,0.10534026287677861
bert-base-multilingual-cased,100.0,fr,affine,QT_minus_TQ,4,1.303895900561796,0.8688675265776342,0.999567559874766,0.0003053167032109458,0.0033222591362126247,0.03386622125372634,-0.27594664762821974,0.007929691721314563,0.2413789305655415
bert-base-multilingual-cased,100.0,fr,affine,MT_minus_TM,4,0.7929970249952213,0.9859780188699182,0.9995873614597667,0.0002926540287308732,0.0033222591362126247,-0.0598407900389244,0.0012456679287566677,-0.035151339418979424,0.087963916325829
bert-base-multilingual-cased,100.0,de,linear,NQ_minus_QN,4,1.5501073681748372,0.9168848785659823,0.9995086904957953,0.00034865069008572624,0.0033222591362126247,-0.18363865504923435,0.20749478795492304,-0.010816057907435164,-0.02469006246666609
bert-base-multilingual-cased,100.0,de,linear,NM_minus_MN,4,0.8180727547884733,0.978005561596155,0.9995240611637987,0.00033544065014997395,0.0033222591362126247,-0.11433896639449269,0.005162841660217646,0.05063985924663147,0.0636095031279324
bert-base-multilingual-cased,100.0,de,linear,NT_minus_TN,4,0.851163333212168,0.9151245763088491,0.9995443129203587,0.0003292396025812214,0.0033222591362126247,-0.21331771047891143,0.0035614867644250953,0.019299063792763096,0.1896998845545685
bert-base-multilingual-cased,100.0,de,linear,QM_minus_MQ,4,1.3898458746577527,0.9201814150543467,0.9995047228093373,0.00034170326160004285,0.0033222591362126247,0.06720579537668094,-0.19347458651157498,0.061001813058748654,0.07891650232569528
bert-base-multilingual-cased,100.0,de,linear,QT_minus_TQ,4,1.4683369844419811,0.9296909979109504,0.9995219519741443,0.00030778134919943285,0.0033222591362126247,0.0601510423078462,-0.1936985001594131,0.03848389396361551,0.10537515961661083
bert-base-multilingual-cased,100.0,de,linear,MT_minus_TM,4,0.7984304487021541,0.9850396758398018,0.9995112212777889,0.00034018050010131224,0.0033222591362126247,-0.05798155797788687,0.006427684992419233,-0.03438729709175698,0.08062389533141619
bert-base-multilingual-cased,100.0,de,affine,NQ_minus_QN,4,1.4512125834732206,0.8499456311067553,0.9995352689017267,0.0003546754737770342,0.0033222591362126247,-0.27498394921564173,0.29957988198563634,0.005070660159767616,-0.04161934861179622
bert-base-multilingual-cased,100.0,de,affine,NM_minus_MN,4,0.7961500245188078,0.9812511400744085,0.9995633648718842,0.00028179634230308243,0.0033222591362126247,-0.1073655277803585,-0.0005806311073211917,0.04181334025320799,0.0708587678009876
bert-base-multilingual-cased,100.0,de,affine,NT_minus_TN,4,0.783005735639768,0.9299729664135449,0.9995606766291852,0.0003009125332895845,0.0033222591362126247,-0.19168585480099767,0.0009520556629841331,0.022320856509112787,0.16764605965304494
bert-base-multilingual-cased,100.0,de,affine,QM_minus_MQ,4,1.339454600374192,0.8687753733950467,0.9995443021416545,0.0003075617752641434,0.0033222591362126247,0.08634811500888666,-0.28149469090986373,0.09258989790464447,0.11844252525728352
bert-base-multilingual-cased,100.0,de,affine,QT_minus_TQ,4,1.332511915047333,0.8704022115258313,0.9995922138364699,0.0002945117573736888,0.0033222591362126247,0.01226766358905494,-0.27871562411655243,0.021236959601863527,0.25301341063926436
bert-base-multilingual-cased,100.0,de,affine,MT_minus_TM,4,0.7794948410342398,0.9899661079248372,0.9995612055002868,0.00031386104925043324,0.0033222591362126247,-0.0568132450689077,0.00981325064377301,-0.02136912773754024,0.06372772837066393
bert-base-multilingual-cased,100.0,ru,linear,NQ_minus_QN,4,1.6152937339286595,0.9020229777748472,0.9995195162294912,0.0003377011994134501,0.0033222591362126247,-0.18368814024925986,0.2351442459587785,-0.0076583074134282825,-0.055686494076131784
