model,scale,language,template_id,representation,cv_adjacent_norm,cos_step_12,cos_step_23,cos_step_34
BAAI/bge-m3,affect,en,54,mean_pool,0.6327931880950928,-0.08074915409088135,-0.5754070281982422,0.06444720923900604
BAAI/bge-m3,affect,en,55,mean_pool,0.6049349904060364,-0.09763292223215103,-0.6038088798522949,0.022382814437150955
BAAI/bge-m3,affect,en,56,mean_pool,0.6031059622764587,-0.04135636240243912,-0.5593885779380798,0.11492850631475449
BAAI/bge-m3,affect,en,57,mean_pool,0.5567429065704346,-0.08871037513017654,-0.5616480112075806,0.07836419343948364
BAAI/bge-m3,affect,en,58,mean_pool,0.6285609006881714,-0.07242050021886826,-0.5921916365623474,0.18504640460014343
BAAI/bge-m3,affect,en,59,mean_pool,0.4919406771659851,-0.050765510648489,-0.566463828086853,-0.16260303556919098
BAAI/bge-m3,affect,en,60,mean_pool,0.5814337134361267,-0.0271743331104517,-0.5815342664718628,0.2617664039134979
BAAI/bge-m3,affect,en,61,mean_pool,0.540625810623169,-0.06348853558301926,-0.6109459400177002,0.3004285395145416
BAAI/bge-m3,affect,en,62,mean_pool,0.5827974677085876,-0.15251226723194122,-0.6126624345779419,0.10804535448551178
BAAI/bge-m3,affect,en,63,mean_pool,0.5461670160293579,-0.08979792147874832,-0.5551431179046631,0.12936599552631378
BAAI/bge-m3,affect,en,64,mean_pool,0.6184230446815491,-0.015340127982199192,-0.5331072807312012,0.14719147980213165
BAAI/bge-m3,affect,en,65,mean_pool,0.6297590732574463,-0.06204324588179588,-0.5566229224205017,0.15121443569660187
BAAI/bge-m3,affect,en,66,mean_pool,0.5407783389091492,-0.08482665568590164,-0.5488102436065674,0.1262177973985672
BAAI/bge-m3,affect,en,67,mean_pool,0.5481142997741699,-0.05219877138733864,-0.576237678527832,0.2109244018793106
BAAI/bge-m3,affect,en,68,mean_pool,0.6567755937576294,-0.10913153737783432,-0.5594028234481812,0.11023356020450592
BAAI/bge-m3,affect,en,69,mean_pool,0.5938166379928589,0.007439163513481617,-0.5563651919364929,0.2439115345478058
BAAI/bge-m3,affect,en,70,mean_pool,0.557997465133667,-0.07767607271671295,-0.5722860097885132,0.18720301985740662
BAAI/bge-m3,affect,en,71,mean_pool,0.47497618198394775,-0.007451809011399746,-0.6231507062911987,-0.05222219601273537
BAAI/bge-m3,affect,en,72,mean_pool,0.5530383586883545,-0.04284239187836647,-0.5484849810600281,0.20229560136795044
BAAI/bge-m3,affect,en,73,mean_pool,0.6331769824028015,-0.03078131005167961,-0.5133649110794067,0.167964369058609
BAAI/bge-m3,affect,en,74,mean_pool,0.6379114389419556,-0.024740295484662056,-0.5529196262359619,0.07447661459445953
BAAI/bge-m3,affect,en,75,mean_pool,0.624190628528595,-0.1442752629518509,-0.5819588303565979,0.10120327025651932
BAAI/bge-m3,affect,en,76,mean_pool,0.5431927442550659,-0.016080861911177635,-0.6042276620864868,0.07927143573760986
BAAI/bge-m3,affect,en,77,mean_pool,0.5986029505729675,-0.12068004161119461,-0.5459324717521667,0.1179233118891716
