section,source_file,group,metric,estimate,n,numerator,ci95_low,ci95_high
gpt2_final_marker_logit_audit,results\experiments\gpt2_final_marker_logit_audit_layer2_3_20260810_v2_results\csv\final_marker_logit_sequence_raw.csv,target_class=ellipsis | control=none,target_top1_any,0.0,96,0.0,0.0,0.03847694748481595
gpt2_final_marker_logit_audit,results\experiments\gpt2_final_marker_logit_audit_layer2_3_20260810_v2_results\csv\final_marker_logit_sequence_raw.csv,target_class=ellipsis | control=target,target_marker_hit,0.875,96,84.0,0.7941135793103388,0.9270287100760494
gpt2_final_marker_logit_audit,results\experiments\gpt2_final_marker_logit_audit_layer2_3_20260810_v2_results\csv\final_marker_logit_sequence_raw.csv,target_class=ellipsis | control=target,target_top1_any,0.875,96,84.0,0.7941135793103388,0.9270287100760494
gpt2_final_marker_logit_audit,results\experiments\gpt2_final_marker_logit_audit_layer2_3_20260810_v2_results\csv\final_marker_logit_sequence_raw.csv,target_class=exclamation | control=none,target_marker_hit,0.0,96,0.0,0.0,0.03847694748481595
gpt2_final_marker_logit_audit,results\experiments\gpt2_final_marker_logit_audit_layer2_3_20260810_v2_results\csv\final_marker_logit_sequence_raw.csv,target_class=exclamation | control=none,target_top1_any,0.0,96,0.0,0.0,0.03847694748481595
gpt2_final_marker_logit_audit,results\experiments\gpt2_final_marker_logit_audit_layer2_3_20260810_v2_results\csv\final_marker_logit_sequence_raw.csv,target_class=exclamation | control=target,target_marker_hit,0.90625,96,87.0,0.8313450206379773,0.9498924595306097
gpt2_final_marker_logit_audit,results\experiments\gpt2_final_marker_logit_audit_layer2_3_20260810_v2_results\csv\final_marker_logit_sequence_raw.csv,target_class=exclamation | control=target,target_top1_any,0.90625,96,87.0,0.8313450206379773,0.9498924595306097
gpt2_final_marker_logit_audit,results\experiments\gpt2_final_marker_logit_audit_layer2_3_20260810_v2_results\csv\final_marker_logit_sequence_raw.csv,target_class=question | control=none,target_marker_hit,0.0,96,0.0,0.0,0.03847694748481595
gpt2_final_marker_logit_audit,results\experiments\gpt2_final_marker_logit_audit_layer2_3_20260810_v2_results\csv\final_marker_logit_sequence_raw.csv,target_class=question | control=none,target_top1_any,0.0,96,0.0,0.0,0.03847694748481595
gpt2_final_marker_logit_audit,results\experiments\gpt2_final_marker_logit_audit_layer2_3_20260810_v2_results\csv\final_marker_logit_sequence_raw.csv,target_class=question | control=target,target_marker_hit,0.8541666666666666,96,82.0,0.7699800750432338,0.9110987538216883
