model,language,template_id,representation,from_level,to_level,step_size,delta_norm
BAAI/bge-m3,en,25,mean_pool,0,2,2,11.936319351196287
BAAI/bge-m3,en,25,mean_pool,-2,2,4,11.27735710144043
BAAI/bge-m3,en,26,mean_pool,-2,-1,1,4.657871723175049
BAAI/bge-m3,en,26,mean_pool,-1,0,1,9.366596221923828
BAAI/bge-m3,en,26,mean_pool,0,1,1,12.787552833557127
BAAI/bge-m3,en,26,mean_pool,1,2,1,2.568258285522461
BAAI/bge-m3,en,26,mean_pool,-2,0,2,10.225214004516602
BAAI/bge-m3,en,26,mean_pool,-1,1,2,11.074051856994627
BAAI/bge-m3,en,26,mean_pool,0,2,2,13.434611320495604
BAAI/bge-m3,en,26,mean_pool,-2,2,4,12.619513511657717
BAAI/bge-m3,en,27,mean_pool,-2,-1,1,4.518757343292236
BAAI/bge-m3,en,27,mean_pool,-1,0,1,10.363458633422852
BAAI/bge-m3,en,27,mean_pool,0,1,1,14.531088829040527
BAAI/bge-m3,en,27,mean_pool,1,2,1,3.196044445037842
BAAI/bge-m3,en,27,mean_pool,-2,0,2,10.920564651489258
BAAI/bge-m3,en,27,mean_pool,-1,1,2,12.477334022521973
BAAI/bge-m3,en,27,mean_pool,0,2,2,15.235394477844238
BAAI/bge-m3,en,27,mean_pool,-2,2,4,14.252435684204102
BAAI/bge-m3,en,28,mean_pool,-2,-1,1,5.500270366668701
BAAI/bge-m3,en,28,mean_pool,-1,0,1,11.583852767944336
BAAI/bge-m3,en,28,mean_pool,0,1,1,12.253334999084473
BAAI/bge-m3,en,28,mean_pool,1,2,1,3.825151443481445
BAAI/bge-m3,en,28,mean_pool,-2,0,2,12.376453399658203
BAAI/bge-m3,en,28,mean_pool,-1,1,2,10.837530136108398
BAAI/bge-m3,en,28,mean_pool,0,2,2,13.750675201416016
BAAI/bge-m3,en,28,mean_pool,-2,2,4,12.73050308227539
BAAI/bge-m3,en,29,mean_pool,-2,-1,1,5.88088846206665
BAAI/bge-m3,en,29,mean_pool,-1,0,1,10.21591567993164
BAAI/bge-m3,en,29,mean_pool,0,1,1,13.78661823272705
BAAI/bge-m3,en,29,mean_pool,1,2,1,5.4322614669799805
BAAI/bge-m3,en,29,mean_pool,-2,0,2,11.496261596679688
BAAI/bge-m3,en,29,mean_pool,-1,1,2,11.939409255981444
BAAI/bge-m3,en,29,mean_pool,0,2,2,14.043566703796388
BAAI/bge-m3,en,29,mean_pool,-2,2,4,13.74470043182373
BAAI/bge-m3,en,30,mean_pool,-2,-1,1,4.597292423248291
BAAI/bge-m3,en,30,mean_pool,-1,0,1,9.581528663635254
BAAI/bge-m3,en,30,mean_pool,0,1,1,12.687408447265623
BAAI/bge-m3,en,30,mean_pool,1,2,1,2.427604913711548
BAAI/bge-m3,en,30,mean_pool,-2,0,2,10.015865325927734
BAAI/bge-m3,en,30,mean_pool,-1,1,2,10.335403442382812
BAAI/bge-m3,en,30,mean_pool,0,2,2,13.099579811096191
BAAI/bge-m3,en,30,mean_pool,-2,2,4,11.955883026123049
BAAI/bge-m3,en,31,mean_pool,-2,-1,1,5.371938705444336
BAAI/bge-m3,en,31,mean_pool,-1,0,1,10.327674865722656
BAAI/bge-m3,en,31,mean_pool,0,1,1,14.023210525512695
BAAI/bge-m3,en,31,mean_pool,1,2,1,4.033633232116699
BAAI/bge-m3,en,31,mean_pool,-2,0,2,11.349434852600098
BAAI/bge-m3,en,31,mean_pool,-1,1,2,12.081055641174316
BAAI/bge-m3,en,31,mean_pool,0,2,2,14.993291854858398
BAAI/bge-m3,en,31,mean_pool,-2,2,4,14.335224151611328
BAAI/bge-m3,en,32,mean_pool,-2,-1,1,4.648563861846924
BAAI/bge-m3,en,32,mean_pool,-1,0,1,9.449650764465332
BAAI/bge-m3,en,32,mean_pool,0,1,1,13.120080947875977
