model,template_id,triple,a,b,c,jacobi_norm,relative_jacobi_norm,null_mean_relative_jacobi_norm,null_std_relative_jacobi_norm,jacobi_to_null_mean_ratio,null_percentile_smaller_is_better
roberta-base,38,NQT,N,Q,T,2.4571518898010254,0.33797770738601685,0.3112940734922886,0.07004697557368016,1.085718412796264,0.619
roberta-base,38,NMT,N,M,T,3.5358686447143555,0.4697546064853668,0.3557168450653553,0.09321632790384282,1.3205857777068135,0.898
roberta-base,38,QMT,Q,M,T,1.6700689792633057,0.2331613004207611,0.36447241333127023,0.09160676879518719,0.6397227660909423,0.088
roberta-base,39,NQM,N,Q,M,2.340726852416992,0.3077743947505951,0.3134373144209385,0.0723708093303254,0.981932847779189,0.689
roberta-base,39,NQT,N,Q,T,2.5810296535491943,0.33529749512672424,0.317358802318573,0.06749750620980052,1.0565249574804212,0.696
roberta-base,39,NMT,N,M,T,3.5987143516540527,0.4418458640575409,0.33830831505358216,0.09189277615281131,1.30604494301671,0.87
roberta-base,39,QMT,Q,M,T,1.690151333808899,0.21779033541679382,0.3465520322024822,0.09313882787905388,0.6284491654312839,0.099
roberta-base,40,NQM,N,Q,M,2.2780091762542725,0.32617419958114624,0.33766918271780016,0.07287658871362167,0.965957855421984,0.51
roberta-base,40,NQT,N,Q,T,2.656599760055542,0.3499990403652191,0.30031669107079506,0.08417032702984119,1.1654331935934483,0.809
roberta-base,40,NMT,N,M,T,3.5594184398651123,0.4733194410800934,0.3613202506303787,0.10047374839118631,1.3099720822539145,0.889
roberta-base,40,QMT,Q,M,T,1.432947039604187,0.19824612140655518,0.35187208983302115,0.10143734730457088,0.563403938914474,0.111
roberta-base,41,NQM,N,Q,M,2.3275392055511475,0.3163621425628662,0.3354695015847683,0.07552457514670774,0.9430429325688883,0.674
roberta-base,41,NQT,N,Q,T,2.4332478046417236,0.33546242117881775,0.30788306072354316,0.07097563098118399,1.089577388211524,0.714
roberta-base,41,NMT,N,M,T,3.5354089736938477,0.47747480869293213,0.35077753153443336,0.0954751391793384,1.3611898304971697,0.91
roberta-base,41,QMT,Q,M,T,1.688307285308838,0.239749476313591,0.36644373649358747,0.09026474267929391,0.6542599925626842,0.1
roberta-base,42,NQM,N,Q,M,2.376664400100708,0.3455507159233093,0.3494595663249493,0.0801125852172578,0.9888145846349673,0.711
roberta-base,42,NQT,N,Q,T,2.645900011062622,0.37359920144081116,0.35004644152522085,0.07865738890837652,1.0672846717478375,0.708
roberta-base,42,NMT,N,M,T,3.480882167816162,0.4777829647064209,0.37100448030233385,0.10286802349051193,1.2878091507568448,0.784
roberta-base,42,QMT,Q,M,T,1.738588809967041,0.2468530833721161,0.3931839385330677,0.10278286264451282,0.6278310459284626,0.097
roberta-base,43,NQM,N,Q,M,2.463393211364746,0.3292608857154846,0.3352807443439961,0.0715452917749874,0.9820453195387888,0.711
roberta-base,43,NQT,N,Q,T,2.708746910095215,0.35271891951560974,0.32980653035640717,0.07169322229801942,1.0694722118854734,0.699
roberta-base,43,NMT,N,M,T,3.278351068496704,0.39561402797698975,0.32616003894805906,0.08422194439800762,1.212944508014295,0.798
roberta-base,43,QMT,Q,M,T,1.722583293914795,0.221382275223732,0.35768105317652227,0.09250072766935763,0.6189376631975437,0.099
roberta-base,44,NQM,N,Q,M,2.181884527206421,0.2756621837615967,0.2910480950176716,0.060469520272206485,0.9471361897899114,0.506
roberta-base,44,NQT,N,Q,T,2.5006613731384277,0.32062700390815735,0.29430456352233886,0.06365104192035581,1.0894394571042088,0.687
roberta-base,44,NMT,N,M,T,3.376410961151123,0.41339364647865295,0.32325644443929197,0.09366674524054566,1.278841160288175,0.913
roberta-base,44,QMT,Q,M,T,1.5770878791809082,0.19953987002372742,0.3188761411309242,0.08817993521250035,0.6257597991352215,0.098
roberta-base,45,NQM,N,Q,M,2.2987399101257324,0.29830503463745117,0.3174970551133156,0.0735554541052305,0.93955213074353,0.494
roberta-base,45,NQT,N,Q,T,2.4497790336608887,0.3147839903831482,0.2954850812703371,0.07006525703887873,1.0653126344950368,0.6
roberta-base,45,NMT,N,M,T,3.492037057876587,0.44039541482925415,0.3258934214860201,0.08420615295254283,1.3513479738859797,0.883
roberta-base,45,QMT,Q,M,T,1.723426342010498,0.22519215941429138,0.34328901848196985,0.08352025940626448,0.6559841628766313,0.103
roberta-base,46,NQM,N,Q,M,2.3195528984069824,0.3033078908920288,0.31293130868673324,0.07165869460171803,0.9692475072690556,0.519
roberta-base,46,NQT,N,Q,T,2.4837124347686768,0.32665300369262695,0.31681996434926984,0.06719258706439005,1.0310366783940608,0.703
roberta-base,46,NMT,N,M,T,3.524918556213379,0.4375554025173187,0.35172104290127754,0.10618304517824773,1.2440410130334156,0.797
roberta-base,46,QMT,Q,M,T,1.7773269414901733,0.22731375694274902,0.3473286674916744,0.09218948650183154,0.6544629862651443,0.191
roberta-base,47,NQM,N,Q,M,2.443100690841675,0.2943122982978821,0.2941662190556526,0.06783245013020867,1.0004965874113552,0.678
roberta-base,47,NQT,N,Q,T,2.6509366035461426,0.31248992681503296,0.29533086699247363,0.06035116644505065,1.0581011392281543,0.698
roberta-base,47,NMT,N,M,T,3.3953092098236084,0.39561977982521057,0.3012836515903473,0.08283388217515641,1.31311399651322,0.813
roberta-base,47,QMT,Q,M,T,1.7484475374221802,0.2064037024974823,0.3100507000684738,0.07927769358182978,0.6657095192858231,0.124
roberta-base,48,NQM,N,Q,M,2.4590742588043213,0.30534666776657104,0.2942145032733679,0.05424822449389518,1.0378368991613645,0.714
roberta-base,48,NQT,N,Q,T,2.5580084323883057,0.31638258695602417,0.3010355103164911,0.05929630404216352,1.0509809511254904,0.695
roberta-base,48,NMT,N,M,T,3.120173215866089,0.3633524477481842,0.2971157508939505,0.08223571952092748,1.2229322971054897,0.802
roberta-base,48,QMT,Q,M,T,1.8048800230026245,0.22438675165176392,0.3361972069442272,0.08047879884445314,0.6674259839651812,0.098
roberta-base,49,NQM,N,Q,M,2.282931089401245,0.326567143201828,0.3343712090551853,0.06925377934029135,0.9766604730222274,0.697
roberta-base,49,NQT,N,Q,T,2.667684555053711,0.3578161895275116,0.31855449026823046,0.07970131179100888,1.1232495552804753,0.784
roberta-base,49,NMT,N,M,T,3.3261892795562744,0.43469175696372986,0.35924442118406297,0.10867396260834175,1.210016722124129,0.783
roberta-base,49,QMT,Q,M,T,1.4889277219772339,0.20899759232997894,0.34871924594044684,0.099279839945214,0.5993291014545024,0.124
roberta-base,50,NQM,N,Q,M,2.3657877445220947,0.30571311712265015,0.310913159430027,0.0658467040055103,0.9832749365839228,0.691
roberta-base,50,NQT,N,Q,T,2.6916024684906006,0.3347051739692688,0.3082719001919031,0.06423127384914175,1.085746620953207,0.719
roberta-base,50,NMT,N,M,T,3.5291061401367188,0.41179248690605164,0.3362517505288124,0.0944216461324541,1.224655295495753,0.795
roberta-base,50,QMT,Q,M,T,1.6330233812332153,0.19783423840999603,0.3338188342303038,0.08571734808067202,0.5926395341519775,0.089
roberta-base,51,NQM,N,Q,M,2.4726970195770264,0.3208896219730377,0.3281137574017048,0.06808680700361906,0.977982832884387,0.603
roberta-base,51,NQT,N,Q,T,2.666011333465576,0.33991196751594543,0.31641682323813436,0.06762525806061888,1.0742537771421037,0.687
roberta-base,51,NMT,N,M,T,3.468485116958618,0.40309637784957886,0.317718681499362,0.08538372875790808,1.268721045756699,0.809
roberta-base,51,QMT,Q,M,T,1.6632224321365356,0.21260152757167816,0.360495851457119,0.09579353399578486,0.5897475011480885,0.092
roberta-base,52,NQM,N,Q,M,2.4287168979644775,0.33787617087364197,0.3396825236678124,0.06995684355400499,0.9946822321747363,0.702
roberta-base,52,NQT,N,Q,T,2.8704116344451904,0.38863590359687805,0.3538316469192505,0.08430157456313059,1.0983638885316327,0.787
roberta-base,52,NMT,N,M,T,3.5373406410217285,0.4684752821922302,0.39386033594608305,0.12922225959502429,1.189445190173128,0.698
roberta-base,52,QMT,Q,M,T,1.5317081212997437,0.21653629839420319,0.37972817063331604,0.10130455136345334,0.5702402801258876,0.11
roberta-base,53,NQM,N,Q,M,2.3512680530548096,0.3127964437007904,0.31597150829434395,0.06314705042459158,0.9899514212161632,0.584
roberta-base,53,NQT,N,Q,T,2.6006367206573486,0.34792256355285645,0.3208456655740738,0.07247431632186843,1.0843922822807996,0.684
roberta-base,53,NMT,N,M,T,3.6411445140838623,0.4837068021297455,0.36605078384280204,0.10004958851071546,1.321419932640135,0.903
roberta-base,53,QMT,Q,M,T,1.5127372741699219,0.20426002144813538,0.3568108328282833,0.0938570727197512,0.572460258082646,0.106
roberta-base,54,NQM,N,Q,M,2.4546456336975098,0.32250237464904785,0.3134554809033871,0.062477838285002835,1.0288618138644714,0.8
roberta-base,54,NQT,N,Q,T,2.5752429962158203,0.33020609617233276,0.31035517190396783,0.060511408677494584,1.0639619573455776,0.699
