model,language,template_id,triple,relative_signed_permutation_norm,null_mean,null_std,ratio_to_null_mean,null_percentile_smaller_is_better,p_smaller_or_equal_null
xlm-roberta-base,en,44,NQT,0.3762430250644684,0.5992537319302559,0.2793403111644398,0.6278526190432295,29.82,0.5964807038592281
xlm-roberta-base,en,44,NMT,0.4467537999153137,0.5758121970593929,0.25895703884204496,0.7758672049603299,20.0,0.40011997600479904
xlm-roberta-base,en,44,QMT,0.34270182251930237,0.642122910040617,0.37809590588997427,0.5337012854705516,25.27,0.505498900219956
xlm-roberta-base,en,45,NQM,0.42406636476516724,0.9720232989788056,0.6028981798984828,0.43627181077886645,19.78,0.3957208558288342
xlm-roberta-base,en,45,NQT,0.5966957211494446,1.1724204620718957,0.7130512768876776,0.5089434554003415,29.91,0.5982803439312138
xlm-roberta-base,en,45,NMT,0.7076957821846008,0.8629798665165901,0.41282157342462805,0.8200605942759569,49.01,0.6904619076184763
xlm-roberta-base,en,45,QMT,0.443244606256485,0.8471330416619778,0.521404831594648,0.5232290377747122,20.17,0.40351929614077187
xlm-roberta-base,en,46,NQM,0.39400437474250793,0.7437788228273392,0.40515410172351696,0.5297332522109767,19.68,0.39372125574885025
xlm-roberta-base,en,46,NQT,0.6210298538208008,0.9169083470582962,0.37661196241497447,0.677308539956654,29.830000000000002,0.5966806638672265
xlm-roberta-base,en,46,NMT,0.6846719980239868,0.926869972729683,0.4077736283757157,0.7386926086372736,4.76,0.09538092381523695
xlm-roberta-base,en,46,QMT,0.5021902322769165,0.9861494815349579,0.6134162644942739,0.5092435190400749,29.7,0.5940811837632474
xlm-roberta-base,en,47,NQM,0.44398632645606995,0.8333149855911731,0.43425815913312993,0.5327953224560853,20.150000000000002,0.40311937612477505
xlm-roberta-base,en,47,NQT,0.5808447003364563,1.1153642281651497,0.6511469493063939,0.5207668362212626,29.73,0.5946810637872425
xlm-roberta-base,en,47,NMT,0.7116461992263794,0.9192663301229477,0.4295739629794279,0.7741458333739101,19.42,0.38852229554089185
xlm-roberta-base,en,47,QMT,0.43958884477615356,0.9191440237879753,0.5957251568234405,0.4782589380976903,29.87,0.5974805038992201
xlm-roberta-base,en,48,NQM,0.45079150795936584,0.9941250435233117,0.6061150858648151,0.4534555395176921,10.040000000000001,0.20095980803839233
xlm-roberta-base,en,48,NQT,0.5588082075119019,1.1245079551696777,0.698173457403969,0.49693575304861753,29.93,0.5986802639472105
xlm-roberta-base,en,48,NMT,1.0446094274520874,1.34461550283432,0.6083974624408311,0.776883373164577,20.05,0.40111977604479104
xlm-roberta-base,en,48,QMT,0.49459391832351685,1.114101600241661,0.7822368406054533,0.44393968935668876,30.52,0.6104779044191162
xlm-roberta-base,en,49,NQM,0.3379674553871155,0.9785842741847038,0.7548492440453627,0.3453636690292656,20.06,0.4013197360527894
xlm-roberta-base,en,49,NQT,0.6174959540367126,1.0035266922473907,0.46388947995136104,0.6153258889937642,29.32,0.5864827034593081
xlm-roberta-base,en,49,NMT,0.5626843571662903,0.7351486513257026,0.317593432713147,0.7654021484645714,29.55,0.4991001799640072
xlm-roberta-base,en,49,QMT,0.3944741189479828,0.7056826393544674,0.38573130814498946,0.5589964907005142,4.8100000000000005,0.09638072385522896
xlm-roberta-base,en,50,NQM,0.35232654213905334,0.9573564090430736,0.7033332607492649,0.36802024701631614,19.47,0.3895220955808838
xlm-roberta-base,en,50,NQT,0.6028562188148499,1.0483773609876632,0.5414216599211041,0.5750374256902414,29.740000000000002,0.594881023795241
