model,language,template_id,pair,relative_commutator_norm,commutator_norm,cosine_ab_ba,noncommutativity
xlm-roberta-base,en,34,NM_vs_MN,0.227704718708992,0.28847768902778625,0.9758140444755554,0.02418595552444458
xlm-roberta-base,en,34,NT_vs_TN,0.6555699706077576,0.6577261090278625,0.8390024900436401,0.16099750995635986
xlm-roberta-base,en,34,QM_vs_MQ,0.5687347054481506,0.5789233446121216,0.860763430595398,0.13923656940460205
xlm-roberta-base,en,34,QT_vs_TQ,0.9032571911811829,0.8068815469741821,0.7273814678192139,0.27261853218078613
xlm-roberta-base,en,34,MT_vs_TM,0.2387675642967224,0.2860792577266693,0.9726381301879883,0.02736186981201172
xlm-roberta-base,en,35,NQ_vs_QN,0.6526727080345154,0.5761284828186035,0.7898776531219482,0.21012234687805176
xlm-roberta-base,en,35,NM_vs_MN,0.3300881087779999,0.2872662842273712,0.9514927864074707,0.0485072135925293
xlm-roberta-base,en,35,NT_vs_TN,0.8915781378746033,0.8115127086639404,0.7467947006225586,0.2532052993774414
xlm-roberta-base,en,35,QM_vs_MQ,0.5748494863510132,0.5064409375190735,0.8593668341636658,0.14063316583633423
xlm-roberta-base,en,35,QT_vs_TQ,0.9132944941520691,0.7480625510215759,0.6909570693969727,0.30904293060302734
xlm-roberta-base,en,35,MT_vs_TM,0.22657349705696106,0.27713513374328613,0.9745303392410278,0.025469660758972168
xlm-roberta-base,en,36,NQ_vs_QN,0.580398678779602,0.5395867824554443,0.8326833248138428,0.16731667518615723
xlm-roberta-base,en,36,NM_vs_MN,0.23358912765979767,0.2857285737991333,0.9736515879631042,0.026348412036895752
xlm-roberta-base,en,36,NT_vs_TN,0.6915196776390076,0.6637337803840637,0.825142502784729,0.174857497215271
xlm-roberta-base,en,36,QM_vs_MQ,0.5702911615371704,0.5523044466972351,0.8526245355606079,0.1473754644393921
xlm-roberta-base,en,36,QT_vs_TQ,0.9045936465263367,0.7819461226463318,0.7141367793083191,0.2858632206916809
xlm-roberta-base,en,36,MT_vs_TM,0.28919970989227295,0.3285561203956604,0.958743691444397,0.04125630855560303
xlm-roberta-base,en,37,NQ_vs_QN,0.6946678757667542,0.5799416303634644,0.7608159184455872,0.23918408155441284
xlm-roberta-base,en,37,NM_vs_MN,0.16111887991428375,0.17970052361488342,0.9872013926506042,0.012798607349395752
xlm-roberta-base,en,37,NT_vs_TN,0.9738280177116394,0.7161333560943604,0.6130259037017822,0.3869740962982178
xlm-roberta-base,en,37,QM_vs_MQ,0.4779248535633087,0.487303763628006,0.8940894603729248,0.1059105396270752
xlm-roberta-base,en,37,QT_vs_TQ,0.9841588735580444,0.8341978788375854,0.5579980611801147,0.44200193881988525
xlm-roberta-base,en,37,MT_vs_TM,0.16282032430171967,0.184517964720726,0.9869307279586792,0.0130692720413208
xlm-roberta-base,en,38,NQ_vs_QN,0.7878623604774475,0.5322176814079285,0.6980897188186646,0.30191028118133545
xlm-roberta-base,en,38,NM_vs_MN,0.2984050214290619,0.20884384214878082,0.9587529301643372,0.04124706983566284
xlm-roberta-base,en,38,NT_vs_TN,1.1024341583251953,0.6911983489990234,0.5146610140800476,0.4853389859199524
xlm-roberta-base,en,38,QM_vs_MQ,1.0604630708694458,0.736742377281189,0.46400344371795654,0.5359965562820435
