model,ridge_alpha,heldout_language,method,operator,target_cosine,mse,n_test,mean_target_cosine,mean_mse,cells
BAAI/bge-m3,1.0,en,linear,N,0.8960255362897627,0.2992706990813793,160.0,,,
BAAI/bge-m3,1.0,en,affine,N,0.8954582214355469,0.3011107146739959,160.0,,,
BAAI/bge-m3,1.0,en,additive,Q,0.9442617297172546,0.1458320170640945,160.0,,,
BAAI/bge-m3,1.0,en,linear,Q,0.8514233079628024,0.4186429331412892,160.0,,,
BAAI/bge-m3,1.0,en,affine,Q,0.8513170480728149,0.4189876616001129,160.0,,,
BAAI/bge-m3,1.0,en,additive,M,0.98228657245636,0.0480895303189754,160.0,,,
BAAI/bge-m3,1.0,en,linear,M,0.9514286540638616,0.1275400277069298,160.0,,,
BAAI/bge-m3,1.0,en,affine,M,0.9514446258544922,0.1275862455368042,160.0,,,
BAAI/bge-m3,1.0,en,additive,T,0.9453514218330384,0.1524547636508941,160.0,,,
BAAI/bge-m3,1.0,en,linear,T,0.9186093982464504,0.2306835562626238,160.0,,,
BAAI/bge-m3,1.0,en,affine,T,0.9191004037857056,0.229359820485115,160.0,,,
BAAI/bge-m3,1.0,es,additive,N,0.8618721961975098,0.3939732909202575,160.0,,,
BAAI/bge-m3,1.0,es,linear,N,0.8036771253152935,0.597934564875452,160.0,,,
BAAI/bge-m3,1.0,es,affine,N,0.8170730471611023,0.5813902616500854,160.0,,,
BAAI/bge-m3,1.0,es,additive,Q,0.9469982981681824,0.1533045321702957,160.0,,,
BAAI/bge-m3,1.0,es,linear,Q,0.8590134784195854,0.4772952811813322,160.0,,,
BAAI/bge-m3,1.0,es,affine,Q,0.8589708209037781,0.488302618265152,160.0,,,
BAAI/bge-m3,1.0,es,additive,M,0.9544795155525208,0.1277608871459961,160.0,,,
BAAI/bge-m3,1.0,es,linear,M,0.8878218623303443,0.3176046395149213,160.0,,,
BAAI/bge-m3,1.0,es,affine,M,0.8833917379379272,0.3360365033149719,160.0,,,
BAAI/bge-m3,1.0,es,additive,T,0.9254791140556335,0.2248622924089431,160.0,,,
BAAI/bge-m3,1.0,es,linear,T,0.8461254011498717,0.4946075538115552,160.0,,,
BAAI/bge-m3,1.0,es,affine,T,0.8524602651596069,0.4930952489376068,160.0,,,
BAAI/bge-m3,1.0,fr,additive,N,0.8930782079696655,0.2849233150482178,160.0,,,
BAAI/bge-m3,1.0,fr,linear,N,0.8706415532402676,0.3613722653009927,160.0,,,
BAAI/bge-m3,1.0,fr,affine,N,0.871507465839386,0.361445665359497,160.0,,,
BAAI/bge-m3,1.0,fr,additive,Q,0.9153528213500975,0.2388777732849121,160.0,,,
BAAI/bge-m3,1.0,fr,linear,Q,0.8871564444849647,0.328729691529504,160.0,,,
BAAI/bge-m3,1.0,fr,affine,Q,0.8885234594345093,0.3237520456314087,160.0,,,
BAAI/bge-m3,1.0,fr,additive,M,0.956037163734436,0.1127687916159629,160.0,,,
BAAI/bge-m3,1.0,fr,linear,M,0.9271332115379908,0.1814924845183617,160.0,,,
BAAI/bge-m3,1.0,fr,affine,M,0.9263622164726256,0.1835812628269195,160.0,,,
BAAI/bge-m3,1.0,fr,additive,T,0.9529949426651,0.1234264597296714,160.0,,,
BAAI/bge-m3,1.0,fr,linear,T,0.9087673193396956,0.2437270757168158,160.0,,,
BAAI/bge-m3,1.0,fr,affine,T,0.91153746843338,0.2353340089321136,160.0,,,
BAAI/bge-m3,1.0,de,additive,N,0.8885700106620789,0.3138696849346161,160.0,,,
BAAI/bge-m3,1.0,de,linear,N,0.835991102678722,0.4437622630836365,160.0,,,
BAAI/bge-m3,1.0,de,affine,N,0.8455371856689453,0.4249443113803863,160.0,,,
BAAI/bge-m3,1.0,de,additive,Q,0.918076992034912,0.2228874415159225,160.0,,,
BAAI/bge-m3,1.0,de,linear,Q,0.8972224187345808,0.2812566294227102,160.0,,,
BAAI/bge-m3,1.0,de,affine,Q,0.8987810015678406,0.2775065302848816,160.0,,,
BAAI/bge-m3,1.0,de,additive,M,0.9618545770645142,0.1009022444486618,160.0,,,
BAAI/bge-m3,1.0,de,linear,M,0.9222425422373904,0.1971617568397357,160.0,,,
BAAI/bge-m3,1.0,de,affine,M,0.9244424700737,0.1935429871082306,160.0,,,
