model,ridge_alpha,heldout_language,method,triple,basis_rank,relative_jacobi_operator_norm,jacobi_coeff_norm,jacobi_coef_N,jacobi_coef_Q,jacobi_coef_M,jacobi_coef_T,mean_relative_jacobi_operator_norm,mean_jacobi_coeff_norm,cells
BAAI/bge-m3,0.1,de,affine,QMT,4.0,0.0696232165633896,0.0033206525880616,-0.0012483232624742,0.0011137797083304,0.0014892584470002,-0.002451535576392,,,
BAAI/bge-m3,0.1,ru,linear,NQM,4.0,0.0982861663126869,0.0083986682091013,-0.0012972658451717,-0.0015548878525728,0.0081317844478537,0.0005577942928048,,,
BAAI/bge-m3,0.1,ru,linear,NQT,4.0,0.1220357111793575,0.0161548524880071,-0.0018615038606945,0.0152782431587196,0.0027677300218364,0.0040532726031138,,,
BAAI/bge-m3,0.1,ru,linear,NMT,4.0,0.1019117305035596,0.0134665003948911,-0.0022111479985193,0.0002081311986243,-0.0130961686971307,0.0022146115403606,,,
BAAI/bge-m3,0.1,ru,linear,QMT,4.0,0.0348962869849883,0.0027212731642094,-0.0002240658444221,0.0005887616837631,0.0012581961302331,-0.0023292540241906,,,
BAAI/bge-m3,0.1,ru,affine,NQM,4.0,0.1222221905208526,0.0109083365683696,-0.0021614552280765,-0.0022333746104802,0.0103485237937163,0.0014966666716409,,,
BAAI/bge-m3,0.1,ru,affine,NQT,4.0,0.1168185803563216,0.016402518518536,-0.0043094862688748,0.0141173887383712,-0.0018633882826735,0.0069063782959668,,,
BAAI/bge-m3,0.1,ru,affine,NMT,4.0,0.1309726478658247,0.0172900382641278,-0.0022830003178596,0.0010996552217406,-0.017103253648527,-5.296934113822188e-05,,,
BAAI/bge-m3,0.1,ru,affine,QMT,4.0,0.0400415117246325,0.0030861560281295,0.0001595582682519,0.0002591083923007,0.0015287048014071,-0.0026636112066491,,,
BAAI/bge-m3,0.1,zh,linear,NQM,4.0,0.0479921968778591,0.0048160562327039,-0.0027141322117129,0.0018160018854049,0.0035333953858576,0.0002124574623634,,,
BAAI/bge-m3,0.1,zh,linear,NQT,4.0,0.0770222996215186,0.0095700597429332,-0.0001299867932735,-0.0044417727900613,0.0012609815714983,0.0083815110138147,,,
BAAI/bge-m3,0.1,zh,linear,NMT,4.0,0.0483269342259419,0.0048942589848129,-0.0006726767955143,-0.0016966003726888,-0.0027028477746972,0.0036493065123946,,,
BAAI/bge-m3,0.1,zh,linear,QMT,4.0,0.0260723152528625,0.0015846125003163,-0.0011418098651651,0.0010113318251131,0.0004294920410511,3.39619749500095e-06,,,
BAAI/bge-m3,0.1,zh,affine,NQM,4.0,0.0511786136899028,0.0048250447169952,-0.0021806413961557,0.0033060666448793,0.0025568675008233,-0.0010286940970104,,,
BAAI/bge-m3,0.1,zh,affine,NQT,4.0,0.0895339920880558,0.0112485806101425,-0.0007942777730827,-0.0034099830754012,0.0015226742105728,0.0105807923727854,,,
BAAI/bge-m3,0.1,zh,affine,NMT,4.0,0.057074485869814,0.0061193932013487,-0.0007536234746524,-0.0023501194589246,-0.0022877913157693,0.0051109660765299,,,
BAAI/bge-m3,0.1,zh,affine,QMT,4.0,0.0543140019028889,0.003150780285793,-0.0019228965065278,0.001290752976856,0.0009452806033484,0.0019157992504945,,,
BAAI/bge-m3,0.1,ar,linear,NQM,4.0,0.0752826666795732,0.0041179017733919,0.0016991193477863,-0.0008172764340384,0.0027907419679251,-0.0023693726925304,,,
BAAI/bge-m3,0.1,ar,linear,NQT,4.0,0.0863252740364297,0.0069774970853433,0.0010513359283359,0.0005315100694842,-0.0007871116050833,0.0068321380774209,,,
BAAI/bge-m3,0.1,ar,linear,NMT,4.0,0.0738489501135441,0.0047876042493699,-0.0031429707952349,-0.0007169588487352,0.0025280697542797,-0.002477442704807,,,
BAAI/bge-m3,0.1,ar,linear,QMT,4.0,0.0332595204394214,0.0018684900353579,-0.0013645691897294,-0.0004768835867871,-0.0002494839317911,0.001157387468009,,,
BAAI/bge-m3,0.1,ar,affine,NQM,4.0,0.0691618817834567,0.0034623873376599,0.0014843655736904,-0.0011424615404864,0.0026506213380241,-0.0012057251223022,,,
BAAI/bge-m3,0.1,ar,affine,NQT,4.0,0.0722690742914021,0.0047646941967321,0.00089546741488,0.0017813495625606,-0.0003040330955109,0.0043168051276447,,,
BAAI/bge-m3,0.1,ar,affine,NMT,4.0,0.0775210733636889,0.0049759801105886,-0.0043665875507202,-0.0001420518739167,0.0020569038954228,-0.0012009408199323,,,
BAAI/bge-m3,0.1,ar,affine,QMT,4.0,0.0477271271200707,0.0029957617551158,-0.0016507620424413,0.0003821316111023,-0.0008822503730556,0.0023076357779531,,,
