model,ridge_alpha,heldout_language,method,pair,basis_rank,matrix_commutator_norm,closure_residual_ratio,random_subspace_null_mean,random_subspace_null_std,empirical_p_below_random_subspace,coef_N,coef_Q,coef_M,coef_T,mean_closure_residual_ratio,mean_matrix_commutator_norm,mean_random_subspace_null,mean_empirical_p,cells
BAAI/bge-m3,0.1,ru,affine,QT_minus_TQ,4.0,8.879399066882401,0.9916832041192796,0.9998765715967044,9.022406634555956e-05,0.0033222591362126,0.0152839005647462,-0.1228925022209692,-0.0011956332003902,0.0884590568041445,,,,,
BAAI/bge-m3,0.1,ru,affine,MT_minus_TM,4.0,8.090663562339145,0.9989151712418743,0.9998717665820944,8.619784716424608e-05,0.0033222591362126,0.0115428440615067,-0.0079901774844314,0.0481493381845457,-0.0068362335403609,,,,,
BAAI/bge-m3,0.1,zh,linear,NQ_minus_QN,4.0,11.488189788873294,0.9952031489814585,0.9998808161064968,9.01503202998156e-05,0.0033222591362126,-0.1030781817803539,0.0616755329194827,0.0497167023387009,0.0071616773077038,,,,,
BAAI/bge-m3,0.1,zh,linear,NM_minus_MN,4.0,9.631007539731648,0.996956189464382,0.9998706317891652,9.252884633504091e-05,0.0033222591362126,-0.0522270414971129,0.0538262149186885,0.0521568557141546,0.0100867079435825,,,,,
BAAI/bge-m3,0.1,zh,linear,NT_minus_TN,4.0,11.50123427541866,0.9960108949536668,0.999878108836363,8.300527674463872e-05,0.0033222591362126,-0.061326011655917,-0.0190211445883153,0.0273975821388183,0.1118278022125824,,,,,
BAAI/bge-m3,0.1,zh,linear,QM_minus_MQ,4.0,7.696736930909398,0.9980046951118212,0.9998768179737608,8.9297740532408e-05,0.0033222591362126,-0.0190550104017863,0.0507945815678969,0.0222927055487199,-0.0235988251854445,,,,,
BAAI/bge-m3,0.1,zh,linear,QT_minus_TQ,4.0,8.81884349994233,0.9968553168669668,0.9998754356454912,8.710161801278435e-05,0.0033222591362126,0.0057579551688246,-0.0479959561388901,-0.0212302456980647,0.0786347774719034,,,,,
BAAI/bge-m3,0.1,zh,linear,MT_minus_TM,4.0,7.939901738144221,0.9989841206489354,0.9998770605798468,8.369235228493713e-05,0.0033222591362126,0.0178369657225018,0.0007232915263175,0.0049849598420486,-0.0413315322957854,,,,,
BAAI/bge-m3,0.1,zh,affine,NQ_minus_QN,4.0,11.143533072435948,0.9947819398484796,0.9998790238891968,8.77780506989599e-05,0.0033222591362126,-0.1080775378472988,0.0562812487041645,0.0428824137020939,0.0209435078757747,,,,,
BAAI/bge-m3,0.1,zh,affine,NM_minus_MN,4.0,9.546818217898164,0.9976098876890584,0.999868317421536,9.137758680853255e-05,0.0033222591362126,-0.0485058472100168,0.0466596060362451,0.0396571083198941,0.0148425247971548,,,,,
BAAI/bge-m3,0.1,zh,affine,NT_minus_TN,4.0,11.135001556547117,0.9941617355458072,0.9998736417855624,8.684787914861615e-05,0.0033222591362126,-0.069873458687209,-0.0254179871425935,0.0190784059142122,0.1366979578171973,,,,,
BAAI/bge-m3,0.1,zh,affine,QM_minus_MQ,4.0,7.541458797063147,0.9985467536675136,0.999877083569988,9.324229396021043e-05,0.0033222591362126,-0.0185611979069509,0.0391851091294094,0.0251177096677193,-0.0184528705586407,,,,,
BAAI/bge-m3,0.1,zh,affine,QT_minus_TQ,4.0,8.7395425506054,0.9971800249971224,0.9998858888130102,8.135113532223459e-05,0.0033222591362126,0.0134891474106124,-0.0526459208136136,-0.0261778727123256,0.0669785596231049,,,,,
BAAI/bge-m3,0.1,zh,affine,MT_minus_TM,4.0,7.972662244356771,0.9985861872213744,0.9998729051092234,8.865056024663585e-05,0.0033222591362126,0.0192355928782147,0.0059557084049519,0.002276711081473,-0.0508117525720556,,,,,
BAAI/bge-m3,0.1,ar,linear,NQ_minus_QN,4.0,13.015944432285222,0.9991995754627307,0.999879933665484,8.530225861183166e-05,0.0033222591362126,-0.022896512188156,-0.0326942746042025,0.0399934869877123,0.0158363917150525,,,,,
BAAI/bge-m3,0.1,ar,linear,NM_minus_MN,4.0,10.377228511489369,0.9988959125826508,0.9998820906486507,8.255737263383393e-05,0.0033222591362126,0.0366066615462175,-0.0073698023898097,0.0153977071578763,0.0002116171409459,,,,,
BAAI/bge-m3,0.1,ar,linear,NT_minus_TN,4.0,14.376573893504494,0.9961962204488994,0.9998838042313796,8.527959937534347e-05,0.0033222591362126,-0.0065161764040442,-0.0435854664496136,0.0194589217180123,0.130226429888052,,,,,
BAAI/bge-m3,0.1,ar,linear,QM_minus_MQ,4.0,7.640284157306606,0.9987191797551156,0.9998703940678484,9.327709342506816e-05,0.0033222591362126,0.0075213553978979,0.0122369255458007,0.0440648462215714,-0.0168365240786859,,,,,
BAAI/bge-m3,0.1,ar,linear,QT_minus_TQ,4.0,9.147241228430946,0.9958621622609832,0.9998741764047028,8.519154830640705e-05,0.0033222591362126,-0.0035379288218952,-0.0468008349019876,0.0174301886763824,0.0828097142938268,,,,,
BAAI/bge-m3,0.1,ar,linear,MT_minus_TM,4.0,7.309751825345527,0.9974928585433251,0.9998848205806584,7.998464927527063e-05,0.0033222591362126,0.0079363579151269,0.0200634574894391,-0.0394405651070493,-0.0414078283579965,,,,,
BAAI/bge-m3,0.1,ar,affine,NQ_minus_QN,4.0,12.590773949425012,0.9996241895335392,0.9998728584238972,8.795454949509906e-05,0.0166112956810631,-0.0126651205032837,-0.011544363828444,0.039179052308241,0.0086015020442845,,,,,
BAAI/bge-m3,0.1,ar,affine,NM_minus_MN,4.0,10.531029562229516,0.9986419620508182,0.9998800327018664,8.24808453208041e-05,0.0033222591362126,0.0373857340918398,-0.0099534046381669,0.0348441693960796,-0.0056704983526125,,,,,
BAAI/bge-m3,0.1,ar,affine,NT_minus_TN,4.0,13.852504833791974,0.996110011753798,0.9998693214519772,8.29585782779289e-05,0.0033222591362126,0.0132321214982126,-0.0413299291177911,0.0105477892669111,0.1233976397351839,,,,,
BAAI/bge-m3,0.1,ar,affine,QM_minus_MQ,4.0,7.699299312493741,0.998784850415764,0.9998737192802823,8.9281605139685e-05,0.0033222591362126,-0.0012310292926584,0.0151646823002761,0.0446519461201899,-0.0130583153152149,,,,,
BAAI/bge-m3,0.1,ar,affine,QT_minus_TQ,4.0,9.043884821520686,0.9962394311967948,0.9998795393007682,8.94641227349885e-05,0.0033222591362126,0.0035396192188661,-0.0527850324381813,0.0051191298474289,0.076761478613966,,,,,
BAAI/bge-m3,0.1,ar,affine,MT_minus_TM,4.0,7.396159156079462,0.9970480924989574,0.999877344392949,7.938756741163667e-05,0.0033222591362126,0.0152435451513296,0.0171658256773665,-0.0298005799965261,-0.053582276581912,,,,,
