model,train_size,repeat,acc,f1
sentence-transformers/all-MiniLM-L6-v2,200,10,0.794,0.7797898578386382
sentence-transformers/all-MiniLM-L6-v2,200,11,0.738,0.7217685378413023
sentence-transformers/all-MiniLM-L6-v2,200,12,0.8,0.7942040726950473
sentence-transformers/all-MiniLM-L6-v2,200,13,0.776,0.7678212280461632
sentence-transformers/all-MiniLM-L6-v2,200,14,0.836,0.8182462451029787
sentence-transformers/all-MiniLM-L6-v2,200,15,0.784,0.7728066250978826
sentence-transformers/all-MiniLM-L6-v2,200,16,0.744,0.7221736702736633
sentence-transformers/all-MiniLM-L6-v2,200,17,0.776,0.7606360802083159
sentence-transformers/all-MiniLM-L6-v2,200,18,0.746,0.7389609653552929
sentence-transformers/all-MiniLM-L6-v2,200,19,0.73,0.7110906690398917
sentence-transformers/all-MiniLM-L6-v2,300,0,0.79,0.779092921058438
sentence-transformers/all-MiniLM-L6-v2,300,1,0.774,0.7639786614576531
sentence-transformers/all-MiniLM-L6-v2,300,2,0.776,0.7667846809806609
sentence-transformers/all-MiniLM-L6-v2,300,3,0.774,0.7632313665462835
sentence-transformers/all-MiniLM-L6-v2,300,4,0.764,0.7558304682102773
sentence-transformers/all-MiniLM-L6-v2,300,5,0.724,0.7134891801638789
sentence-transformers/all-MiniLM-L6-v2,300,6,0.772,0.7605969046596961
sentence-transformers/all-MiniLM-L6-v2,300,7,0.756,0.7407489010008954
sentence-transformers/all-MiniLM-L6-v2,300,8,0.772,0.7606104639755662
sentence-transformers/all-MiniLM-L6-v2,300,9,0.74,0.7302114327713165
sentence-transformers/all-MiniLM-L6-v2,300,10,0.81,0.8013526866900273
sentence-transformers/all-MiniLM-L6-v2,300,11,0.734,0.723195166932175
sentence-transformers/all-MiniLM-L6-v2,300,12,0.784,0.7742107115872959
sentence-transformers/all-MiniLM-L6-v2,300,13,0.76,0.7562988139104291
sentence-transformers/all-MiniLM-L6-v2,300,14,0.792,0.7853456909618004
sentence-transformers/all-MiniLM-L6-v2,300,15,0.832,0.8262401905331085
sentence-transformers/all-MiniLM-L6-v2,300,16,0.798,0.7880648418900769
sentence-transformers/all-MiniLM-L6-v2,300,17,0.762,0.7509056285482945
sentence-transformers/all-MiniLM-L6-v2,300,18,0.812,0.8064340383154782
sentence-transformers/all-MiniLM-L6-v2,300,19,0.77,0.7562977050520165
sentence-transformers/all-MiniLM-L6-v2,500,0,0.764,0.7556993289377506
sentence-transformers/all-MiniLM-L6-v2,500,1,0.764,0.7556993289377506
sentence-transformers/all-MiniLM-L6-v2,500,2,0.764,0.7556993289377506
sentence-transformers/all-MiniLM-L6-v2,500,3,0.764,0.7556993289377506
sentence-transformers/all-MiniLM-L6-v2,500,4,0.764,0.7556993289377506
sentence-transformers/all-MiniLM-L6-v2,500,5,0.764,0.7556993289377506
sentence-transformers/all-MiniLM-L6-v2,500,6,0.764,0.7556993289377506
sentence-transformers/all-MiniLM-L6-v2,500,7,0.764,0.7556993289377506
sentence-transformers/all-MiniLM-L6-v2,500,8,0.764,0.7556993289377506
sentence-transformers/all-MiniLM-L6-v2,500,9,0.764,0.7556993289377506
sentence-transformers/all-MiniLM-L6-v2,500,10,0.764,0.7556993289377506
sentence-transformers/all-MiniLM-L6-v2,500,11,0.764,0.7556993289377506
sentence-transformers/all-MiniLM-L6-v2,500,12,0.764,0.7556993289377506
sentence-transformers/all-MiniLM-L6-v2,500,13,0.764,0.7556993289377506
sentence-transformers/all-MiniLM-L6-v2,500,14,0.764,0.7556993289377506
sentence-transformers/all-MiniLM-L6-v2,500,15,0.764,0.7556993289377506
sentence-transformers/all-MiniLM-L6-v2,500,16,0.764,0.7556993289377506
sentence-transformers/all-MiniLM-L6-v2,500,17,0.764,0.7556993289377506
sentence-transformers/all-MiniLM-L6-v2,500,18,0.764,0.7556993289377506
sentence-transformers/all-MiniLM-L6-v2,500,19,0.764,0.7556993289377506
sentence-transformers/all-mpnet-base-v2,25,0,0.46,0.3677128085633147
sentence-transformers/all-mpnet-base-v2,25,1,0.596,0.511826078601977
sentence-transformers/all-mpnet-base-v2,25,2,0.53,0.44254590790886866
sentence-transformers/all-mpnet-base-v2,25,3,0.576,0.48752762478456174
sentence-transformers/all-mpnet-base-v2,25,5,0.546,0.4394363244972312
sentence-transformers/all-mpnet-base-v2,25,6,0.508,0.41358027217427323
sentence-transformers/all-mpnet-base-v2,25,7,0.576,0.5236572382011759
sentence-transformers/all-mpnet-base-v2,25,8,0.608,0.5726034060705428
sentence-transformers/all-mpnet-base-v2,25,9,0.604,0.5241926998024559
sentence-transformers/all-mpnet-base-v2,25,10,0.49,0.38288976628534244
sentence-transformers/all-mpnet-base-v2,25,11,0.582,0.5114299087542964
sentence-transformers/all-mpnet-base-v2,25,12,0.63,0.6399296576095368
