model,feature,heldout_language,accuracy,macro_f1,chance,n_train,n_test,mean_macro_f1,min_macro_f1,max_macro_f1,n
,signed_endpoint_sum,ar,,,,,,0.1663117129803397,0.0389147930505876,0.3359072888190075,7.0
,source_only,ar,,,,,,0.1,0.1,0.1,7.0
,anticyclic_endpoint_mean,de,,,,,,0.867181381466129,0.5689877252377252,1.0,7.0
,cyclic_endpoint_mean,de,,,,,,0.8585185561327969,0.4652976592936024,1.0,7.0
,delta_concat,de,,,,,,0.9806132301411736,0.8851282051282051,1.0,7.0
,endpoint_concat,de,,,,,,0.9622681968427036,0.8495783869477836,1.0,7.0
,endpoint_mean,de,,,,,,0.8667550063090547,0.5498121697216265,1.0,7.0
,signed_delta_sum,de,,,,,,0.896505323544155,0.5562748113279922,1.0,7.0
,signed_endpoint_sum,de,,,,,,0.896505323544155,0.5562748113279922,1.0,7.0
,source_only,de,,,,,,0.1,0.1,0.1,7.0
,anticyclic_endpoint_mean,en,,,,,,0.9261667175648912,0.7480604611879409,1.0,7.0
,cyclic_endpoint_mean,en,,,,,,0.9098323896573582,0.7188362624122315,1.0,7.0
,delta_concat,en,,,,,,0.9959042938073752,0.9843597262952102,1.0,7.0
,endpoint_concat,en,,,,,,0.997023365400639,0.9895822029300054,1.0,7.0
,endpoint_mean,en,,,,,,0.9111321342813437,0.7069844376106607,1.0,7.0
,signed_delta_sum,en,,,,,,0.9836534756340394,0.9638475608822764,1.0,7.0
,signed_endpoint_sum,en,,,,,,0.9836534756340394,0.9638475608822764,1.0,7.0
,source_only,en,,,,,,0.1,0.1,0.1,7.0
,anticyclic_endpoint_mean,es,,,,,,0.8494290883064389,0.6945767031537523,1.0,7.0
,cyclic_endpoint_mean,es,,,,,,0.8338098718165147,0.6857086117395493,0.9947911014650028,7.0
,delta_concat,es,,,,,,0.9512097336573764,0.8718718718718719,1.0,7.0
,endpoint_concat,es,,,,,,0.945645580030427,0.7975186104218362,1.0,7.0
,endpoint_mean,es,,,,,,0.8517316204944894,0.6913739727569514,0.997395762688875,7.0
,signed_delta_sum,es,,,,,,0.8246716339882656,0.6328498238677729,0.9895788102475032,7.0
,signed_endpoint_sum,es,,,,,,0.8246716339882656,0.6328498238677729,0.9895788102475032,7.0
,source_only,es,,,,,,0.1,0.1,0.1,7.0
,anticyclic_endpoint_mean,fr,,,,,,0.8174135376039026,0.5059263817207347,0.9947916666666669,7.0
,cyclic_endpoint_mean,fr,,,,,,0.8706442552710673,0.6784738057785326,0.997395762688875,7.0
,delta_concat,fr,,,,,,0.970038119412301,0.8635587047801865,1.0,7.0
,endpoint_concat,fr,,,,,,0.9470531360159166,0.804149295215406,1.0,7.0
,endpoint_mean,fr,,,,,,0.8504403508554796,0.5642766211458575,0.997395762688875,7.0
,signed_delta_sum,fr,,,,,,0.810261173530661,0.5637774108975239,0.9947911014650028,7.0
,signed_endpoint_sum,fr,,,,,,0.810261173530661,0.5637774108975239,0.9947911014650028,7.0
,source_only,fr,,,,,,0.1,0.1,0.1,7.0
,anticyclic_endpoint_mean,ru,,,,,,0.6790371492873291,0.3834604994769711,0.8478835978835979,7.0
,cyclic_endpoint_mean,ru,,,,,,0.6226001123561021,0.3000196662206927,0.8298418026340206,7.0
,delta_concat,ru,,,,,,0.8055069298616584,0.5484313192905454,0.9895553558509677,7.0
,endpoint_concat,ru,,,,,,0.7989992249195613,0.604922776975658,1.0,7.0
,endpoint_mean,ru,,,,,,0.6686650125980533,0.3702767095382494,0.8641555098096232,7.0
,signed_delta_sum,ru,,,,,,0.5531139293278461,0.1308360027552385,0.9483218822146272,7.0
,signed_endpoint_sum,ru,,,,,,0.5531139293278461,0.1308360027552385,0.9483218822146272,7.0
,source_only,ru,,,,,,0.1,0.1,0.1,7.0
,anticyclic_endpoint_mean,zh,,,,,,0.8407240143742133,0.6215393621650744,0.997395762688875,7.0
,cyclic_endpoint_mean,zh,,,,,,0.8380575552106343,0.5683982894939583,0.997395762688875,7.0
,delta_concat,zh,,,,,,0.960397426024456,0.8589022877055331,1.0,7.0
,endpoint_concat,zh,,,,,,0.912459758420728,0.7737585148237252,1.0,7.0
,endpoint_mean,zh,,,,,,0.8498307975038705,0.6455640439730341,1.0,7.0
,signed_delta_sum,zh,,,,,,0.7180401105661856,0.5197401884142088,0.8571053322826372,7.0
,signed_endpoint_sum,zh,,,,,,0.7180401105661856,0.5197401884142088,0.8571053322826372,7.0
,source_only,zh,,,,,,0.1,0.1,0.1,7.0
BAAI/bge-m3,anticyclic_endpoint_mean,,,,,,,0.8579066344011111,0.4142030520193323,0.997395762688875,7.0
BAAI/bge-m3,cyclic_endpoint_mean,,,,,,,0.8715944391932533,0.4489904795787149,1.0,7.0
BAAI/bge-m3,delta_concat,,,,,,,0.8957604275508488,0.3717207526588492,1.0,7.0
BAAI/bge-m3,endpoint_concat,,,,,,,0.8908933043966423,0.3662469733656174,1.0,7.0
BAAI/bge-m3,endpoint_mean,,,,,,,0.8676836531663399,0.4383198105978675,1.0,7.0
BAAI/bge-m3,signed_delta_sum,,,,,,,0.7483913560103866,0.0389147930505876,1.0,7.0
BAAI/bge-m3,signed_endpoint_sum,,,,,,,0.7483913560103866,0.0389147930505876,1.0,7.0
BAAI/bge-m3,source_only,,,,,,,0.1,0.1,0.1,7.0
bert-base-multilingual-cased,anticyclic_endpoint_mean,,,,,,,0.7070094071598144,0.5183535108011291,0.9379090516374896,7.0
bert-base-multilingual-cased,cyclic_endpoint_mean,,,,,,,0.6786679700422874,0.1354604979576756,0.8983176380794977,7.0
bert-base-multilingual-cased,delta_concat,,,,,,,0.8737567165217514,0.5418852494533926,1.0,7.0
bert-base-multilingual-cased,endpoint_concat,,,,,,,0.8121732766183654,0.3435409161091096,1.0,7.0
bert-base-multilingual-cased,endpoint_mean,,,,,,,0.6958942889844354,0.2315742793791574,0.9142156693880832,7.0
bert-base-multilingual-cased,signed_delta_sum,,,,,,,0.5551277617704005,0.1308360027552385,0.9638475608822764,7.0
bert-base-multilingual-cased,signed_endpoint_sum,,,,,,,0.5551277617704005,0.1308360027552385,0.9638475608822764,7.0
bert-base-multilingual-cased,source_only,,,,,,,0.1,0.1,0.1,7.0
distilbert-base-multilingual-cased,anticyclic_endpoint_mean,,,,,,,0.5939756594661455,0.1208403361344537,0.8102229371924309,7.0
distilbert-base-multilingual-cased,cyclic_endpoint_mean,,,,,,,0.6013497690089444,0.110622491674494,0.7673131008145682,7.0
distilbert-base-multilingual-cased,delta_concat,,,,,,,0.8860839791397028,0.5166492088869287,0.9843597262952102,7.0
distilbert-base-multilingual-cased,endpoint_concat,,,,,,,0.7554673700820921,0.1401564537157757,0.997395762688875,7.0
distilbert-base-multilingual-cased,endpoint_mean,,,,,,,0.5943193935899221,0.1157804459691252,0.7801795144898593,7.0
distilbert-base-multilingual-cased,signed_delta_sum,,,,,,,0.56453650284998,0.1137142857142857,0.9791304347826086,7.0
distilbert-base-multilingual-cased,signed_endpoint_sum,,,,,,,0.56453650284998,0.1137142857142857,0.9791304347826086,7.0
distilbert-base-multilingual-cased,source_only,,,,,,,0.1,0.1,0.1,7.0
intfloat/multilingual-e5-large,anticyclic_endpoint_mean,,,,,,,0.892756256132311,0.461391304347826,1.0,7.0
intfloat/multilingual-e5-large,cyclic_endpoint_mean,,,,,,,0.8812115836781914,0.4457223567393059,1.0,7.0
intfloat/multilingual-e5-large,delta_concat,,,,,,,0.9296372325140564,0.5701473859844272,1.0,7.0
intfloat/multilingual-e5-large,endpoint_concat,,,,,,,0.9113819831346583,0.4161884208241904,1.0,7.0
intfloat/multilingual-e5-large,endpoint_mean,,,,,,,0.89364241319932,0.4618112674420855,1.0,7.0
intfloat/multilingual-e5-large,signed_delta_sum,,,,,,,0.8052451733784979,0.0842654781561534,1.0,7.0
