model,template_id,triple,a,b,c,jacobi_norm,relative_jacobi_norm,null_mean_relative_jacobi_norm,null_std_relative_jacobi_norm,jacobi_to_null_mean_ratio,null_percentile_smaller_is_better
bert-base-uncased,76,QMT,Q,M,T,5.3725266456604,0.2633950114250183,0.37662300261855125,0.08387915656546384,0.6993598627619909,0.105
bert-base-uncased,77,NQM,N,Q,M,4.782934188842773,0.26934438943862915,0.3386920495629311,0.08096783154646808,0.7952486330441249,0.309
bert-base-uncased,77,NQT,N,Q,T,6.751087188720703,0.39162182807922363,0.3334348274469376,0.07692528916548173,1.1745078673294,0.691
bert-base-uncased,77,NMT,N,M,T,4.805150985717773,0.2794460952281952,0.3753454107940197,0.12788444963841145,0.7445038281840186,0.431
bert-base-uncased,77,QMT,Q,M,T,5.140442371368408,0.30310767889022827,0.4341940710544586,0.0960020450977703,0.6980926251558903,0.108
bert-base-uncased,78,NQM,N,Q,M,5.270547866821289,0.28244149684906006,0.32150167344510555,0.0743215531846839,0.8785070815390538,0.397
bert-base-uncased,78,NQT,N,Q,T,6.771617412567139,0.3702785074710846,0.33019613002240655,0.07348513118524502,1.121389603944894,0.691
bert-base-uncased,78,NMT,N,M,T,4.823461532592773,0.3096296191215515,0.4081238478124142,0.1251581082445078,0.7586658333749412,0.288
bert-base-uncased,78,QMT,Q,M,T,4.437607288360596,0.24946680665016174,0.39496076020598414,0.0899370831623956,0.6316242821677412,0.114
bert-base-uncased,79,NQM,N,Q,M,5.313418865203857,0.27905401587486267,0.3011247231066227,0.06842851244155715,0.9267057616359455,0.412
bert-base-uncased,79,NQT,N,Q,T,6.505040645599365,0.34418785572052,0.3022960009872913,0.07553886118285047,1.1385789246145248,0.689
bert-base-uncased,79,NMT,N,M,T,4.833818435668945,0.297973096370697,0.3887706270515919,0.12071565888449091,0.7664496122809916,0.408
bert-base-uncased,79,QMT,Q,M,T,4.698687553405762,0.25526824593544006,0.3795431599915028,0.08549993066608744,0.6725671092069805,0.096
bert-base-uncased,80,NQM,N,Q,M,4.686165809631348,0.2649790942668915,0.34360054713487626,0.08849494023959992,0.771183563226708,0.081
bert-base-uncased,80,NQT,N,Q,T,7.3390631675720215,0.41019362211227417,0.361132980287075,0.08535211653091704,1.1358520115915849,0.69
bert-base-uncased,80,NMT,N,M,T,5.848606109619141,0.33408281207084656,0.4035653970837593,0.1177438034793797,0.8278281896420382,0.403
bert-base-uncased,80,QMT,Q,M,T,5.453518867492676,0.30124667286872864,0.41212258371710775,0.0916417098639734,0.7309637587703315,0.089
bert-base-uncased,81,NQM,N,Q,M,5.602811813354492,0.29465925693511963,0.3199721735715866,0.06594399054879567,0.9208902563156023,0.389
bert-base-uncased,81,NQT,N,Q,T,6.7887043952941895,0.36614349484443665,0.3482362231016159,0.07972879923246656,1.051422771537882,0.589
bert-base-uncased,81,NMT,N,M,T,5.438620090484619,0.33416152000427246,0.3843177276849747,0.10531705945495508,0.8694928595053394,0.414
bert-base-uncased,81,QMT,Q,M,T,4.734352111816406,0.27289658784866333,0.4275048550069332,0.09152944075620856,0.6383473419117058,0.089
bert-base-uncased,82,NQM,N,Q,M,5.2016730308532715,0.2896846532821655,0.3353037456274033,0.08565597781261523,0.8639469646820033,0.41
bert-base-uncased,82,NQT,N,Q,T,7.3442559242248535,0.4026499390602112,0.3505016990602016,0.09295930473616335,1.1487817038795691,0.779
bert-base-uncased,82,NMT,N,M,T,5.363550662994385,0.2911846339702606,0.37706799831986426,0.13081198398865612,0.7722337489973848,0.423
bert-base-uncased,82,QMT,Q,M,T,4.966985702514648,0.28139936923980713,0.4221626580059528,0.08770383215365037,0.6665662248961219,0.106
bert-base-uncased,83,NQM,N,Q,M,4.99101448059082,0.24971316754817963,0.29100909431278704,0.06991177216962839,0.8580940335799982,0.41
bert-base-uncased,83,NQT,N,Q,T,6.487608432769775,0.3298020660877228,0.3036814461350441,0.0646607804452006,1.086013223013885,0.689
bert-base-uncased,83,NMT,N,M,T,4.486364364624023,0.2831015884876251,0.4109344228208065,0.14580635251123458,0.6889215718255525,0.32
bert-base-uncased,83,QMT,Q,M,T,4.777408123016357,0.24928948283195496,0.3793803073167801,0.08197564045771072,0.6570965282685134,0.11
bert-base-uncased,84,NQM,N,Q,M,4.551416397094727,0.26965299248695374,0.3354424771517515,0.07842439435187,0.8038725291316072,0.278
bert-base-uncased,84,NQT,N,Q,T,6.091039657592773,0.35795894265174866,0.3451796541661024,0.07083117883954164,1.0370221371114179,0.599
bert-base-uncased,84,NMT,N,M,T,5.286537170410156,0.32822251319885254,0.4450960069000721,0.15347385647248704,0.737419586133928,0.38
bert-base-uncased,84,QMT,Q,M,T,5.007400035858154,0.2962561249732971,0.43174539506435394,0.09211971678667946,0.6861824778199485,0.095
bert-base-uncased,85,NQM,N,Q,M,4.962559223175049,0.26705920696258545,0.3237340615093708,0.07832178466830299,0.8249339155621419,0.39
bert-base-uncased,85,NQT,N,Q,T,7.80708122253418,0.4240439534187317,0.34469521456956864,0.09431334093877172,1.230199711205791,0.809
bert-base-uncased,85,NMT,N,M,T,5.374922752380371,0.29513540863990784,0.3870161373615265,0.12329035461674652,0.7625919959080364,0.288
bert-base-uncased,85,QMT,Q,M,T,5.2441887855529785,0.28424572944641113,0.40804497799277306,0.09177428994210288,0.6966039156858558,0.102
bert-base-uncased,86,NQM,N,Q,M,5.343062877655029,0.273252010345459,0.3031150453835726,0.06252508081460077,0.9014795355960463,0.395
bert-base-uncased,86,NQT,N,Q,T,6.740149974822998,0.3496144115924835,0.31933611585199834,0.07898854925889245,1.094816383855008,0.602
bert-base-uncased,86,NMT,N,M,T,5.021885871887207,0.30100634694099426,0.3586123627126217,0.10485567161754962,0.8393641107720816,0.423
bert-base-uncased,86,QMT,Q,M,T,4.793825149536133,0.2610044479370117,0.4031129167675972,0.09037648647578297,0.647472301382093,0.102
bert-base-uncased,87,NQM,N,Q,M,5.100955486297607,0.2851417064666748,0.32093763664364816,0.0753448715251329,0.8884645298936763,0.429
bert-base-uncased,87,NQT,N,Q,T,6.904123306274414,0.3834105432033539,0.3380405323952436,0.08487440748283497,1.134214706400736,0.71
bert-base-uncased,87,NMT,N,M,T,5.259389400482178,0.2929089367389679,0.4003629604279995,0.14631442949972284,0.7316084795284464,0.392
bert-base-uncased,87,QMT,Q,M,T,5.110109329223633,0.2931959331035614,0.42841688412427903,0.08740907945954755,0.6843706304950954,0.09
bert-base-uncased,88,NQM,N,Q,M,5.368601322174072,0.276728093624115,0.3052834777086973,0.06495417544070183,0.9064627267095784,0.398
bert-base-uncased,88,NQT,N,Q,T,6.618428707122803,0.3545059561729431,0.3365496078580618,0.07780119708074117,1.0533542392995476,0.605
bert-base-uncased,88,NMT,N,M,T,5.250667095184326,0.2988252341747284,0.33196988588571547,0.0873501373946386,0.9001576554949998,0.42
bert-base-uncased,88,QMT,Q,M,T,4.471940040588379,0.24588072299957275,0.39928167366981504,0.0869694082919606,0.6158076846829875,0.097
bert-base-uncased,89,NQM,N,Q,M,4.812289714813232,0.27613896131515503,0.3111296593695879,0.07516543614971136,0.8875366041083365,0.408
bert-base-uncased,89,NQT,N,Q,T,6.476110935211182,0.3803809881210327,0.3387287243008614,0.07647786997534593,1.1229664354713909,0.742
bert-base-uncased,89,NMT,N,M,T,5.114350318908691,0.3078783452510834,0.38203108094632626,0.11405207258118931,0.8058986836558806,0.392
bert-base-uncased,89,QMT,Q,M,T,4.771390914916992,0.2801187336444855,0.41977366915345193,0.09209875484154104,0.6673089672554434,0.119
bert-base-uncased,90,NQM,N,Q,M,5.3643412590026855,0.27947232127189636,0.30939414605498317,0.06510475158258115,0.903288975678704,0.397
bert-base-uncased,90,NQT,N,Q,T,7.022703647613525,0.37704741954803467,0.33636733792722223,0.08562210391747549,1.1209394522975153,0.715
bert-base-uncased,90,NMT,N,M,T,5.481046199798584,0.32424691319465637,0.3890249016880989,0.11739402790777032,0.8334862672975835,0.295
bert-base-uncased,90,QMT,Q,M,T,4.842492580413818,0.2597520649433136,0.3962237637042999,0.08523351739293171,0.6555691221400589,0.108
bert-base-uncased,91,NQM,N,Q,M,4.657252788543701,0.2676350772380829,0.3312123126387596,0.07666902808711244,0.8080468842025629,0.418
bert-base-uncased,91,NQT,N,Q,T,6.951359748840332,0.4021340608596802,0.3528147342801094,0.07532386350686411,1.1397881714862708,0.695
bert-base-uncased,91,NMT,N,M,T,5.245938301086426,0.30158060789108276,0.3892498048990965,0.12756720681301237,0.7747739474615418,0.305
bert-base-uncased,91,QMT,Q,M,T,5.456259250640869,0.30957746505737305,0.4304453618824482,0.08876659948768717,0.71920269672042,0.083
bert-base-uncased,92,NQM,N,Q,M,5.594406604766846,0.2837427258491516,0.30691017463803294,0.07057513968146417,0.9245139108954947,0.407
bert-base-uncased,92,NQT,N,Q,T,7.07559061050415,0.35342225432395935,0.301808609649539,0.07223967086680949,1.1710144874037334,0.814
bert-base-uncased,92,NMT,N,M,T,5.079617977142334,0.30297282338142395,0.4311423538327217,0.16188316590237994,0.7027210866373644,0.307
bert-base-uncased,92,QMT,Q,M,T,4.855391025543213,0.25043198466300964,0.37015998008847234,0.08022483250440839,0.6765506757442473,0.115
bert-base-uncased,93,NQM,N,Q,M,5.110280990600586,0.277726948261261,0.3163558642268181,0.07064265404915115,0.8778941049161676,0.407
bert-base-uncased,93,NQT,N,Q,T,6.825824737548828,0.35935574769973755,0.32473496955633163,0.0747067807280667,1.106612411313755,0.632
